osmid,name,highway,oneway,reversed,length,ref,geometry,junction,tunnel
274799108,Avenida Labradora,tertiary,False,True,12.489,CM-3165,"LINESTRING (-3.3598667 39.3662159, -3.3597317 39.3662574)",,
274799126,Calle Tintoreros,residential,False,True,65.049,,"LINESTRING (-3.3576303 39.3662934, -3.3578722 39.3668477)",,
276175026,Calle La Labradora,residential,False,False,39.937,,"LINESTRING (-3.3576303 39.3662934, -3.3580943 39.3662757)",,
276175026,Calle La Labradora,residential,False,True,14.208,,"LINESTRING (-3.3576303 39.3662934, -3.3574656 39.3662827)",,
274799143,,residential,False,False,9.533,,"LINESTRING (-3.3592494 39.3663711, -3.3592299 39.3664555)",,
274799112,Calle Carrasco Alcalde,tertiary,True,False,15.979999999999999,CM-3165,"LINESTRING (-3.3592494 39.3663711, -3.3592316 39.3663751, -3.3590747 39.3664201)",,
274799143,,residential,False,True,14.802,,"LINESTRING (-3.3592494 39.3663711, -3.3592395 39.3663458, -3.3592117 39.3662413)",,
274799112,Calle Carrasco Alcalde,tertiary,True,False,114.089,CM-3165,"LINESTRING (-3.3590747 39.3664201, -3.3584792 39.3665906, -3.3578722 39.3668477)",,
274799143,,residential,False,True,9.533,,"LINESTRING (-3.3592299 39.3664555, -3.3592494 39.3663711)",,
274799120,Calle Juan Coto,tertiary,True,False,30.238999999999997,CM-420,"LINESTRING (-3.3592299 39.3664555, -3.3592517 39.3664399, -3.3595254 39.3663087)",,
274799120,Calle Juan Coto,tertiary,True,False,10.889,CM-420,"LINESTRING (-3.3591368 39.3665219, -3.3592299 39.3664555)",,
274799140,,residential,True,False,13.347999999999999,,"LINESTRING (-3.3591368 39.3665219, -3.3591338 39.3664684, -3.3590747 39.3664201)",,
274799120,Calle Juan Coto,tertiary,True,False,31.598999999999997,CM-420,"LINESTRING (-3.3588794 39.3667244, -3.3590208 39.3666046, -3.3591368 39.3665219)",,
274799115,Calle Concepción,residential,False,False,6.288,,"LINESTRING (-3.3551791 39.3673958, -3.355186 39.3674521)",,
274799115,Calle Concepción,residential,False,False,45.164,,"LINESTRING (-3.3552064 39.3677546, -3.3552159 39.3681607)",,
