osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,geometry,junction
198933824,residential,False,False,36.978,,,,,"LINESTRING (-14.4827381 26.1290527, -14.4830473 26.1288696)",
198933824,residential,False,True,38.637,,,,,"LINESTRING (-14.4827381 26.1290527, -14.482401 26.1292234)",
598738685,residential,False,False,52.33,,,,,"LINESTRING (-14.4827381 26.1290527, -14.4825036 26.1286318)",
598738685,residential,False,True,20.778,,,,,"LINESTRING (-14.4827381 26.1290527, -14.4828443 26.1292134)",
581809943,residential,False,False,43.268,,,,,"LINESTRING (-14.4828443 26.1292134, -14.4830473 26.1288696)",
581809943,residential,False,True,33.176,,,,,"LINESTRING (-14.4828443 26.1292134, -14.482712 26.1294871)",
598738685,residential,False,False,20.778,,,,,"LINESTRING (-14.4828443 26.1292134, -14.4827381 26.1290527)",
198933743,residential,False,False,53.756,,,,,"LINESTRING (-14.4840789 26.1293084, -14.4845677 26.1295112)",
198933743,residential,False,True,28.026,,,,,"LINESTRING (-14.4840789 26.1293084, -14.4838196 26.1292118)",
764103154,residential,False,True,42.612,,,,,"LINESTRING (-14.4840789 26.1293084, -14.4839633 26.1296773)",
1228776625,residential,False,False,96.704,,,,,"LINESTRING (-14.4840789 26.1293084, -14.4844691 26.1285124)",
198933763,tertiary,True,False,154.838,1,,,,"LINESTRING (-14.4873812 26.1292944, -14.486462 26.130416)",
198933823,residential,False,False,9.022,,,Avenida Zarqtuni,,"LINESTRING (-14.4873812 26.1292944, -14.4874528 26.1293439)",
198933823,residential,False,True,39.275,,,Avenida Zarqtuni,,"LINESTRING (-14.4873812 26.1292944, -14.4870695 26.1290789)",
198933823,residential,False,False,41.241,,,Avenida Zarqtuni,,"LINESTRING (-14.4874528 26.1293439, -14.4877801 26.1295702)",
198933823,residential,False,True,9.022,,,Avenida Zarqtuni,,"LINESTRING (-14.4874528 26.1293439, -14.4873812 26.1292944)",
424275083,tertiary,True,False,82.788,1,,,,"LINESTRING (-14.4874528 26.1293439, -14.4879406 26.1287418)",
198933813,residential,False,False,44.336,,,,,"LINESTRING (-14.480936 26.1293586, -14.4805423 26.1295431)",
198933813,residential,False,True,34.93,,,,,"LINESTRING (-14.480936 26.1293586, -14.4812495 26.1292191)",
198933834,residential,False,False,29.49,,,,,"LINESTRING (-14.480936 26.1293586, -14.4808059 26.1291205)",
198933834,residential,False,True,54.33,,,,,"LINESTRING (-14.480936 26.1293586, -14.4811936 26.129789)",
198933826,residential,False,False,22.276,,,,,"LINESTRING (-14.4864597 26.1293644, -14.4865864 26.1291995)",
198933826,residential,False,True,99.104,,,,,"LINESTRING (-14.4864597 26.1293644, -14.4858961 26.1300981)",
198933829,residential,False,True,27.184,,,,,"LINESTRING (-14.4864597 26.1293644, -14.4862081 26.1292709)",
198933824,residential,False,False,41.265,,,,,"LINESTRING (-14.4820362 26.1293979, -14.482401 26.1292234)",
198933824,residential,False,True,30.522,,,,,"LINESTRING (-14.4820362 26.1293979, -14.481764 26.1295229)",
198933828,residential,False,False,53.937,,,,,"LINESTRING (-14.4820362 26.1293979, -14.4817849 26.1289685)",
198933828,residential,False,True,51.711,,,,,"LINESTRING (-14.4820362 26.1293979, -14.482288 26.1298043)",
198933824,residential,False,False,34.23,,,,,"LINESTRING (-14.4811936 26.129789, -14.4814951 26.1296424)",
198933824,residential,False,True,44.793,,,,,"LINESTRING (-14.4811936 26.129789, -14.4808045 26.1299896)",
198933834,residential,False,False,54.33,,,,,"LINESTRING (-14.4811936 26.129789, -14.480936 26.1293586)",
198933834,residential,False,True,51.79,,,,,"LINESTRING (-14.4811936 26.129789, -14.4814315 26.1302029)",
198933828,residential,False,False,29.246,,,,,"LINESTRING (-14.48242 26.1300391, -14.482288 26.1298043)",
581809943,residential,False,False,67.95,,,,,"LINESTRING (-14.48242 26.1300391, -14.482712 26.1294871)",
581809943,residential,False,True,13.648,,,,,"LINESTRING (-14.48242 26.1300391, -14.4823656 26.1301517)",
598738688,residential,False,True,35.521,,,,,"LINESTRING (-14.48242 26.1300391, -14.4827355 26.1301868)",
198933743,residential,False,False,28.426,,,,,"LINESTRING (-14.4858961 26.1300981, -14.4861388 26.1302318)",
198933743,residential,False,True,24.911,,,,,"LINESTRING (-14.4858961 26.1300981, -14.4856708 26.1300018)",
198933826,residential,False,False,99.104,,,,,"LINESTRING (-14.4858961 26.1300981, -14.4864597 26.1293644)",
198933743,residential,False,False,8.759,,,,,"LINESTRING (-14.486462 26.130416, -14.4865344 26.1304605)",
198933743,residential,False,True,38.217,,,,,"LINESTRING (-14.486462 26.130416, -14.4861388 26.1302318)",
198933763,tertiary,True,False,53.739,1,,,,"LINESTRING (-14.486462 26.130416, -14.4861484 26.1308088)",
764103154,residential,False,False,51.404,,,,,"LINESTRING (-14.4836908 26.1305466, -14.4838303 26.1301016)",
581492793,residential,False,True,35.464,,,,,"LINESTRING (-14.4836908 26.1305466, -14.4838784 26.1305888, -14.4840333 26.1306309)",
598738688,residential,False,False,44.107,,,,,"LINESTRING (-14.4836908 26.1305466, -14.4836531 26.1305454, -14.4835988 26.1305334, -14.4832791 26.1304096)",
198933742,tertiary,False,True,38.306,,,,,"LINESTRING (-14.4792764 26.1307555, -14.4790926 26.1304531)",
198933824,residential,False,False,89.067,,,,,"LINESTRING (-14.4792764 26.1307555, -14.4800584 26.1303699)",
598738689,residential,False,False,116.953,,,,,"LINESTRING (-14.483411 26.1270777, -14.4844599 26.1275461)",
598738689,residential,False,True,13.821,,,,,"LINESTRING (-14.483411 26.1270777, -14.4833044 26.1269984)",
491058819,primary,True,False,73.68900000000001,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.483411 26.1270777, -14.4836524 26.126914, -14.483993 26.1266702)",
198933776,residential,False,False,46.332,,,,,"LINESTRING (-14.484243 26.1279667, -14.48404 26.1283414)",
198933776,residential,False,True,33.69,,,,,"LINESTRING (-14.484243 26.1279667, -14.4843868 26.1276926)",
235391666,residential,False,False,145.68,,,,,"LINESTRING (-14.484243 26.1279667, -14.4829155 26.1274227)",
