osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
105876856,,Гостинорядский переулок,residential,,False,False,176.09199999999998,"LINESTRING (36.2554115 54.5097093, 36.2554138 54.5096506, 36.2553657 54.5093757, 36.2553313 54.509213, 36.2552644 54.5090287, 36.2552175 54.5088391, 36.2551964 54.5087411, 36.2551527 54.5085915, 36.255111 54.5084553, 36.2550568 54.5083764, 36.2550021 54.5083444, 36.2548325 54.5082453, 36.2547778 54.5082117)"
131653094,,переулок Карпова,residential,,False,True,55.931,"LINESTRING (36.2544457 54.5091635, 36.2539235 54.509438, 36.2538814 54.5094601, 36.2537992 54.5094982)"
131653094,,переулок Карпова,residential,,False,False,55.931,"LINESTRING (36.2537992 54.5094982, 36.2538814 54.5094601, 36.2539235 54.509438, 36.2544457 54.5091635)"
163921784,,Театральная улица,residential,,False,False,22.555,"LINESTRING (36.2537992 54.5094982, 36.2539227 54.5095847, 36.2540269 54.509652)"
163921784,,Театральная улица,residential,,False,True,68.657,"LINESTRING (36.2537992 54.5094982, 36.2534529 54.5092698, 36.2531747 54.5090837, 36.2530862 54.5090411)"
170867445,2,Гостинорядский переулок,tertiary,,False,True,54.947,"LINESTRING (36.2528103 54.5072642, 36.2533844 54.507629)"
141465793,1,,secondary_link,,True,False,45.587,"LINESTRING (36.2528103 54.5072642, 36.2526314 54.5071952, 36.2524095 54.5070527, 36.2523036 54.5069827)"
121657535,,Воскресенская улица,residential,,True,False,26.19,"LINESTRING (36.2596582 54.5101283, 36.2596242 54.5098936)"
406618012,4,улица Ленина,secondary,,False,False,22.391,"LINESTRING (36.2596582 54.5101283, 36.2598833 54.5102815)"
"[25465900, 24663382]","['4', '3']",улица Ленина,secondary,,False,True,34.352000000000004,"LINESTRING (36.2596582 54.5101283, 36.2596391 54.5101168, 36.2592952 54.5099024)"
160492743,,Старичков переулок,secondary,,False,True,36.095,"LINESTRING (36.2596582 54.5101283, 36.2597927 54.5100205, 36.2599997 54.5098714)"
159906933,,тупик Софьи Перовской,residential,,False,True,74.048,"LINESTRING (36.2571835 54.5060967, 36.2570772 54.5061333, 36.2562918 54.5064217, 36.2562123 54.5064509)"
159906933,,тупик Софьи Перовской,residential,,False,False,74.048,"LINESTRING (36.2562123 54.5064509, 36.2562918 54.5064217, 36.2570772 54.5061333, 36.2571835 54.5060967)"
"[25465900, 24663382]","['4', '3']",улица Ленина,secondary,,False,False,34.352000000000004,"LINESTRING (36.2592952 54.5099024, 36.2596391 54.5101168, 36.2596582 54.5101283)"
24663382,3,улица Ленина,secondary,,False,True,96.369,"LINESTRING (36.2592952 54.5099024, 36.2588822 54.5096371, 36.2588587 54.5096232, 36.2587345 54.5095427, 36.2583631 54.5093044, 36.2582936 54.5092598)"
160492751,1,,secondary_link,,True,False,21.639,"LINESTRING (36.2592952 54.5099024, 36.2594705 54.5099158, 36.2596242 54.5098936)"
