osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name,ref
570013589,2,tertiary,50,False,True,53.444,"LINESTRING (20.8905172 38.9164631, 20.8903117 38.9163546, 20.8899986 38.9162021)",Καποδίστρια,
191031452,2,residential,50,False,True,78.196,"LINESTRING (20.8876285 38.9198422, 20.8876472 38.9197942, 20.8876633 38.9197545, 20.8879047 38.9192996, 20.8879338 38.9192567, 20.8879566 38.9192302, 20.8879926 38.9192032)",,
191031458,2,residential,50,False,False,130.783,"LINESTRING (20.8876285 38.9198422, 20.8876191 38.9198975, 20.8876204 38.9199382, 20.8876321 38.9199777, 20.8876864 38.9200339, 20.8880468 38.9203362, 20.8881631 38.9204195, 20.8881798 38.9204319, 20.8883123 38.9205006, 20.8883849 38.9205319, 20.888447 38.9205512, 20.8886687 38.9205811)",Εμμανουήλ Δεληγιώργη,
570016825,2,residential,50,False,False,40.596000000000004,"LINESTRING (20.8876285 38.9198422, 20.8878361 38.9198814, 20.8879508 38.9199005, 20.8880891 38.9198985)",,
570016825,2,residential,50,False,False,57.564,"LINESTRING (20.8880891 38.9198985, 20.8887543 38.9199105)",,
"[570016824, 570008466]",2,residential,50,False,True,98.327,"LINESTRING (20.8880891 38.9198985, 20.8881408 38.9197399, 20.8881649 38.9196857, 20.8881917 38.9196471, 20.8882199 38.9196116, 20.8883028 38.9195213, 20.8883357 38.919467, 20.8883437 38.9194258, 20.888333 38.9193861, 20.8882955 38.9193507, 20.888163 38.9192764, 20.8880788 38.9192372, 20.8879926 38.9192032)",,
570016825,2,residential,50,False,True,40.596000000000004,"LINESTRING (20.8880891 38.9198985, 20.8879508 38.9199005, 20.8878361 38.9198814, 20.8876285 38.9198422)",,
191031455,2,residential,50,False,False,7.905,"LINESTRING (20.8901636 38.9175828, 20.8900731 38.9175926)",Μητροπόλεως,
191031455,2,residential,50,False,True,90.503,"LINESTRING (20.8901636 38.9175828, 20.8904896 38.9175842, 20.8910162 38.9175833, 20.8912094 38.9175916)",Μητροπόλεως,
"[191031444, 975894638]",2,residential,50,False,False,63.375,"LINESTRING (20.8901636 38.9175828, 20.8901278 38.9179801, 20.8901115 38.9181513)",,
191031440,2,residential,50,False,False,34.347,"LINESTRING (20.888534 38.9186413, 20.8885208 38.9185961, 20.8885249 38.9185, 20.8885469 38.9183345)",,
191031452,2,residential,50,False,False,58.356,"LINESTRING (20.888534 38.9186413, 20.888476 38.9186882, 20.8884492 38.9187183, 20.8884197 38.9187591, 20.8883726 38.9188433, 20.8883366 38.9189083, 20.8883086 38.9189582, 20.8882802 38.9190012, 20.88825 38.9190357, 20.88822 38.9190713, 20.8882012 38.9190935)",,
191031452,2,residential,50,False,True,42.026,"LINESTRING (20.888534 38.9186413, 20.8886543 38.9185652, 20.8888248 38.9184622, 20.888869 38.9184524, 20.8889053 38.9184504, 20.8889373 38.9184549)",,
