osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
6587260,Burgemeester Versteeghsingel,tertiary,30,True,False,442.5,"LINESTRING (5.0503529 52.5103792, 5.0517368 52.5107784, 5.0524934 52.5109948, 5.0538816 52.5113927, 5.0549514 52.5116817, 5.0555711 52.5118338, 5.0561168 52.5119502, 5.0563366 52.5119463)",,
859777770,Burgemeester Versteeghsingel,tertiary,30,False,True,17.796,"LINESTRING (5.0503529 52.5103792, 5.0502258 52.5103419, 5.0501161 52.5103096)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,False,35.447,"LINESTRING (5.056896 52.5104441, 5.0573668 52.5105838)",,
6586890,Bouwen Heijnszstraat,residential,30,False,False,48.933,"LINESTRING (5.056896 52.5104441, 5.0568241 52.5105259, 5.0566842 52.5108626)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,True,48.045,"LINESTRING (5.056896 52.5104441, 5.0568325 52.5104255, 5.0565341 52.510338, 5.0562564 52.5102566)",,
6586919,Paltrokmolen,residential,30,False,True,138.843,"LINESTRING (5.0626866 52.5105289, 5.0619977 52.5103461, 5.0619445 52.5102743, 5.0620725 52.5100962, 5.06212 52.51003, 5.0621591 52.5099915, 5.06222 52.51001, 5.0627577 52.510158)",,
6586862,Roelof Bootstraat,residential,30,False,True,36.576,"LINESTRING (5.0528532 52.5105806, 5.053067 52.5102785)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,True,35.447,"LINESTRING (5.0573668 52.5105838, 5.056896 52.5104441)",,
6586932,Broekgouwstraat,tertiary,30,False,False,48.33,"LINESTRING (5.0573668 52.5105838, 5.0570479 52.5109727)",,
6586932,Broekgouwstraat,tertiary,30,False,True,166.817,"LINESTRING (5.0573668 52.5105838, 5.0576491 52.5102606, 5.0579979 52.5098654, 5.0580065 52.5098551, 5.0581581 52.509673, 5.0585299 52.5092612)",,
6587192,Baanstraat,residential,30,False,True,44.439,"LINESTRING (5.0498432 52.5106731, 5.0501161 52.5103096)",,7.5
6586977,Baanstraat,residential,30,False,False,86.572,"LINESTRING (5.0498432 52.5106731, 5.0497549 52.5107792, 5.049649 52.5110599, 5.0495334 52.5114248)",,5
"[858396804, 6587006]",Baandervesting,residential,30,False,False,268.23199999999997,"LINESTRING (5.0498432 52.5106731, 5.0499331 52.5107036, 5.0503934 52.5108287, 5.0514124 52.511115, 5.0530409 52.5115455, 5.0528798 52.5118069)",,
6586683,Roelof Bootstraat,residential,30,False,False,27.49,"LINESTRING (5.0566842 52.5108626, 5.0570479 52.5109727)",,
