osmid,oneway,highway,reversed,length,geometry,name,lanes,bridge,junction
578922868,False,residential,False,97.68199999999999,"LINESTRING (114.5882134 -3.3164499, 114.5889077 -3.3160538, 114.5889232 -3.3160511, 114.5889319 -3.3160518, 114.5889845 -3.3160704)",,,,
792302830,False,residential,False,54.096000000000004,"LINESTRING (114.5882134 -3.3164499, 114.5882975 -3.3166402, 114.5884062 -3.316815, 114.5884243 -3.3168344, 114.5884583 -3.3168658)",,,,
286643176,True,trunk,False,18.017,"LINESTRING (114.5924522 -3.3203084, 114.5926143 -3.3203003)",Jalan Merdeka,4,,
783268472,False,trunk,False,196.094,"LINESTRING (114.5924522 -3.3203084, 114.5924148 -3.3203145, 114.5923853 -3.3203192, 114.5923511 -3.3203231, 114.5920799 -3.3204141, 114.5915454 -3.3205689, 114.5911789 -3.3206701, 114.5910984 -3.3206749, 114.5910642 -3.3206715, 114.5909027 -3.3206311, 114.5907482 -3.32059)",Jalan Merdeka,4,,
650590971,True,residential,False,5.916,"LINESTRING (114.5925401 -3.3232222, 114.5925493 -3.323207, 114.5925627 -3.3231953, 114.592579 -3.3231884)",,,,roundabout
898388380,False,trunk_link,False,9.538,"LINESTRING (114.5920506 -3.3220806, 114.5919708 -3.3220488)",,,,
286590400,True,trunk,False,110.03099999999999,"LINESTRING (114.5920506 -3.3220806, 114.5920441 -3.322094, 114.5920382 -3.3221076, 114.5920024 -3.3221986, 114.5919485 -3.3223354, 114.5918635 -3.3225512, 114.5917979 -3.322718, 114.591685 -3.3230003)",Jalan Lambung Mangkurat,,,
802880883,True,trunk,False,38.554,"LINESTRING (114.5916343 -3.3229002, 114.5917626 -3.322578)",Jalan Lambung Mangkurat,2,,
298521495,False,tertiary,True,120.94500000000001,"LINESTRING (114.5901304 -3.3162524, 114.59001 -3.3162373, 114.5893362 -3.316134, 114.5892267 -3.3161092, 114.589176 -3.3160893, 114.589133 -3.3160665, 114.5891062 -3.3160485, 114.5890804 -3.3160197)",Jalan Pulau Laut,,,
720529991,True,trunk,False,223.881,"LINESTRING (114.5901304 -3.3162524, 114.5901379 -3.3161402, 114.5901322 -3.3160716, 114.5900738 -3.3157626, 114.5900443 -3.3156127, 114.5899987 -3.3153583, 114.5899659 -3.3151943, 114.5899243 -3.3149499, 114.5898378 -3.3145195, 114.5897911 -3.3142715)",Jalan S. Parman,2,,
703025974,False,residential,False,68.496,"LINESTRING (114.5899887 -3.3149499, 114.590015 -3.3150168, 114.5900526 -3.3150222, 114.5905545 -3.3150942)",,,,
"[712902524, 720529990]",True,trunk,False,188.447,"LINESTRING (114.5899887 -3.3149499, 114.5900329 -3.3151749, 114.5900953 -3.3154815, 114.5901664 -3.3158851, 114.5901932 -3.3160371, 114.5902154 -3.3161578, 114.5902344 -3.3162838, 114.5902539 -3.3164019, 114.5902619 -3.3164709, 114.590258 -3.3165563, 114.5902546 -3.3166199)","['Jalan S. Parman', 'Jalan Taman Sari']",2,,
703025974,False,residential,True,68.496,"LINESTRING (114.5905545 -3.3150942, 114.5900526 -3.3150222, 114.590015 -3.3150168, 114.5899887 -3.3149499)",,,,
"[792678889, 424010893]",False,residential,True,56.6,"LINESTRING (114.5931901 -3.3216238, 114.593153 -3.3215554, 114.5930672 -3.3212693, 114.5930283 -3.3212466, 114.5929411 -3.3212368)",,,,
289172077,False,trunk,True,58.606,"LINESTRING (114.588732 -3.3192795, 114.5890192 -3.3192258, 114.5892502 -3.3191788)",Jalan Sutoyo S,2,,
