osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,bridge
1051074408,Calle Francisco I. Madero,residential,False,True,75.569,,,"LINESTRING (-102.3418414 22.180832, -102.341537 22.1802136)",,
426238938,Calle Ponciano Arriaga,residential,False,True,116.562,,,"LINESTRING (-102.3421499 22.1814603, -102.3431732 22.181012)",,
1051074408,Calle Francisco I. Madero,residential,False,True,76.746,,,"LINESTRING (-102.3421499 22.1814603, -102.3418414 22.180832)",,
426238942,Calle Francisco Zarco,residential,False,False,112.986,,,"LINESTRING (-102.3425375 22.1797963, -102.341537 22.1802136)",,
1051068221,Calle Valentín Gómez Farías,residential,False,False,74.679,,,"LINESTRING (-102.3425375 22.1797963, -102.3422518 22.179179)",,
1051068221,Calle Valentín Gómez Farías,residential,False,True,73.069,,,"LINESTRING (-102.3425375 22.1797963, -102.3428446 22.1803887)",,
426238942,Calle Francisco Zarco,residential,False,False,114.649,,,"LINESTRING (-102.341537 22.1802136, -102.3405218 22.1806371)",,
426238942,Calle Francisco Zarco,residential,False,True,112.986,,,"LINESTRING (-102.341537 22.1802136, -102.3425375 22.1797963)",,
1051074408,Calle Francisco I. Madero,residential,False,False,75.569,,,"LINESTRING (-102.341537 22.1802136, -102.3418414 22.180832)",,
1051074408,Calle Francisco I. Madero,residential,False,True,78.54,,,"LINESTRING (-102.341537 22.1802136, -102.3412192 22.1795715)",,
426238937,Calle Fray Servando Teresa de Mier,residential,False,False,76.513,,,"LINESTRING (-102.3405218 22.1806371, -102.3408423 22.1812579)",,
426238937,Calle Fray Servando Teresa de Mier,residential,False,True,73.862,,,"LINESTRING (-102.3405218 22.1806371, -102.3402254 22.1800322)",,
426238942,Calle Francisco Zarco,residential,False,False,69.247,,,"LINESTRING (-102.3405218 22.1806371, -102.3399129 22.1809015)",,
426238942,Calle Francisco Zarco,residential,False,True,114.649,,,"LINESTRING (-102.3405218 22.1806371, -102.341537 22.1802136)",,
426238943,Calle Miguel Ramos Arizpe,residential,False,False,114.933,,,"LINESTRING (-102.3422518 22.179179, -102.3412192 22.1795715)",,
1051068221,Calle Valentín Gómez Farías,residential,False,False,65.502,,,"LINESTRING (-102.3422518 22.179179, -102.3420011 22.1786376)",,
1051068221,Calle Valentín Gómez Farías,residential,False,True,74.679,,,"LINESTRING (-102.3422518 22.179179, -102.3425375 22.1797963)",,
426238943,Calle Miguel Ramos Arizpe,residential,False,False,114.435,,,"LINESTRING (-102.3412192 22.1795715, -102.3402254 22.1800322)",,
426238943,Calle Miguel Ramos Arizpe,residential,False,True,114.933,,,"LINESTRING (-102.3412192 22.1795715, -102.3422518 22.179179)",,
1051074408,Calle Francisco I. Madero,residential,False,False,78.54,,,"LINESTRING (-102.3412192 22.1795715, -102.341537 22.1802136)",,
1051074408,Calle Francisco I. Madero,residential,False,True,61.496,,,"LINESTRING (-102.3412192 22.1795715, -102.3409738 22.1790673)",,
426238937,Calle Fray Servando Teresa de Mier,residential,False,False,73.862,,,"LINESTRING (-102.3402254 22.1800322, -102.3405218 22.1806371)",,
426238937,Calle Fray Servando Teresa de Mier,residential,False,True,67.437,,,"LINESTRING (-102.3402254 22.1800322, -102.3399616 22.1794771)",,
426238943,Calle Miguel Ramos Arizpe,residential,False,False,60.532,,,"LINESTRING (-102.3402254 22.1800322, -102.3396944 22.1802658)",,
426238943,Calle Miguel Ramos Arizpe,residential,False,True,114.435,,,"LINESTRING (-102.3402254 22.1800322, -102.3412192 22.1795715)",,
426238944,Privada Ex-Hacienda,residential,False,False,114.88,,,"LINESTRING (-102.3418173 22.1782464, -102.3408021 22.1786749)",,
1051068221,Calle Valentín Gómez Farías,residential,False,False,38.054,,,"LINESTRING (-102.3418173 22.1782464, -102.3416686 22.1779331)",,
1051068221,Calle Valentín Gómez Farías,residential,False,True,47.438,,,"LINESTRING (-102.3418173 22.1782464, -102.3420011 22.1786376)",,
426238944,Privada Ex-Hacienda,residential,False,True,114.88,,,"LINESTRING (-102.3408021 22.1786749, -102.3418173 22.1782464)",,
1051074408,Calle Francisco I. Madero,residential,False,False,47.079,,,"LINESTRING (-102.3408021 22.1786749, -102.3409738 22.1790673)",,
1051074408,Calle Francisco I. Madero,residential,False,True,37.296,,,"LINESTRING (-102.3408021 22.1786749, -102.3406587 22.1783669)",,
