osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,maxspeed
170229241,False,,Calle 4 Norte,residential,False,14.661,"LINESTRING (-97.8013817 19.2272725, -97.8013778 19.2271407)",,
776353834,False,,Calle Héroe de Nacozari,residential,False,130.477,"LINESTRING (-97.8013817 19.2272725, -97.8023446 19.2280143)",,
776353834,False,,Calle Héroe de Nacozari,residential,True,25.281,"LINESTRING (-97.8013817 19.2272725, -97.8012002 19.2271231)",,
858325371,True,,Calle 2 Norte,residential,False,67.549,"LINESTRING (-97.802754 19.2289309, -97.8028109 19.2283258)",,
903142622,False,,Avenida Ferrocarril,residential,True,55.977,"LINESTRING (-97.802754 19.2289309, -97.8023326 19.2286225)",,
170229593,False,,Camino Nacional Norte,residential,False,31.204,"LINESTRING (-97.8095091 19.2272737, -97.8097016 19.2270599)",,
170229593,False,,Camino Nacional Norte,residential,True,46.644,"LINESTRING (-97.8095091 19.2272737, -97.8092259 19.2275969)",,
378891492,False,,,tertiary,False,44.577,"LINESTRING (-97.8010926 19.223109, -97.8010435 19.2227108)",,
378891490,False,,,tertiary,True,75.905,"LINESTRING (-97.8010926 19.223109, -97.8010935 19.2233817, -97.801103 19.2236738, -97.8011327 19.2237881)",,
378891493,False,,,tertiary,False,90.458,"LINESTRING (-97.8010926 19.223109, -97.8015147 19.223399, -97.8017021 19.2234476, -97.8018473 19.2234472)",,
169906736,False,,Calle 9 Oriente,residential,False,23.541,"LINESTRING (-97.80336 19.2226462, -97.8035814 19.2226796)",,
378891487,False,,Camino Nacional,tertiary,False,33.551,"LINESTRING (-97.80336 19.2226462, -97.8030683 19.2227694)",,
378891487,False,,Camino Nacional,tertiary,True,48.611,"LINESTRING (-97.80336 19.2226462, -97.803763 19.222431)",,
378891491,False,,Calle 5 Oriente,residential,True,141.231,"LINESTRING (-97.8011327 19.2237881, -97.8022513 19.2244935)",,
378891490,False,,,tertiary,False,75.905,"LINESTRING (-97.8011327 19.2237881, -97.801103 19.2236738, -97.8010935 19.2233817, -97.8010926 19.223109)",,
"[776358545, 776359987]",False,,Camino Nacional,tertiary,True,84.083,"LINESTRING (-97.8011327 19.2237881, -97.8016702 19.2235234, -97.8018473 19.2234472)",,
378892719,False,,Avenida Tlaxcala,residential,True,104.654,"LINESTRING (-97.8034737 19.2228172, -97.8029264 19.2236038)",,
776359988,False,,Avenida Tlaxcala,residential,False,19.026,"LINESTRING (-97.8034737 19.2228172, -97.8035814 19.2226796)",,
378891635,False,,,residential,False,29.183,"LINESTRING (-97.8059002 19.2216363, -97.8057618 19.2214087)",,
776350099,False,2,Carretera Nopalucan Grajales,secondary,False,42.075,"LINESTRING (-97.8059002 19.2216363, -97.8057801 19.2219973)",,
776350099,False,2,Carretera Nopalucan Grajales,secondary,True,54.752,"LINESTRING (-97.8059002 19.2216363, -97.8060222 19.2214311, -97.8061891 19.221228)",,
378891635,False,,,residential,True,29.183,"LINESTRING (-97.8057618 19.2214087, -97.8059002 19.2216363)",,
