osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref
148317578,False,2,Bytomska,tertiary,50,True,54.1,"LINESTRING (18.9435597 50.3795413, 18.9436118 50.3790559)",
35541167,False,,Marszałka Józefa Piłsudskiego,residential,,False,70.47800000000001,"LINESTRING (18.9435597 50.3795413, 18.943475 50.3795357, 18.9434118 50.3795366, 18.9425715 50.3795966)",
148317578,False,2,Bytomska,tertiary,50,False,52.681,"LINESTRING (18.9435597 50.3795413, 18.9435428 50.3796942, 18.9435075 50.3800139)",
41507877,False,,Akacjowa,residential,,True,111.98,"LINESTRING (18.9347605 50.3800404, 18.9355891 50.3791831)",
495359611,False,,Marszałka Józefa Piłsudskiego,residential,,True,149.35999999999999,"LINESTRING (18.9347605 50.3800404, 18.9349268 50.3800316, 18.9368597 50.3799296)",
41510586,True,,,residential,,False,89.502,"LINESTRING (18.9390582 50.3797927, 18.9389176 50.3789928)",
495359613,False,2,Marszałka Józefa Piłsudskiego,residential,,False,40.542,"LINESTRING (18.9390582 50.3797927, 18.9386136 50.3798196, 18.9385384 50.3798272, 18.9384895 50.3798292)",
495359613,False,2,Marszałka Józefa Piłsudskiego,residential,,True,112.785,"LINESTRING (18.9390582 50.3797927, 18.9396233 50.3797582, 18.9406416 50.3796966)",
148317578,False,2,Bytomska,tertiary,50,False,56.214,"LINESTRING (18.9436673 50.3785516, 18.9436478 50.3787293, 18.9436118 50.3790559)",
580953544,False,2,Bytomska,tertiary,50,True,73.839,"LINESTRING (18.9436673 50.3785516, 18.9436992 50.3779964, 18.9437054 50.377888)",
1089025506,False,2,Generała Jerzego Ziętka,tertiary,,True,27.139,"LINESTRING (18.9436673 50.3785516, 18.9437915 50.3785437, 18.9438181 50.378542, 18.9440481 50.3785272)",
368281750,False,4,Bytomska,tertiary,50,True,97.802,"LINESTRING (18.9439508 50.3745505, 18.9439342 50.3742279, 18.9439527 50.3739547, 18.9439567 50.3738956, 18.9439767 50.3736718)",
523447693,False,2,Bytomska,tertiary,50,False,96.16399999999999,"LINESTRING (18.9439508 50.3745505, 18.9439508 50.3746264, 18.9439238 50.3751016, 18.9439194 50.3751794, 18.9439061 50.3754148)",
"[233223160, 523447693]",False,2,Bytomska,tertiary,50,False,40.229,"LINESTRING (18.9439061 50.3754148, 18.9438801 50.3756652, 18.9438686 50.3757758)",
523447693,False,2,Bytomska,tertiary,50,True,96.164,"LINESTRING (18.9439061 50.3754148, 18.9439194 50.3751794, 18.9439238 50.3751016, 18.9439508 50.3746264, 18.9439508 50.3745505)",
233223160,False,2,Bytomska,tertiary,,False,29.192,"LINESTRING (18.9438686 50.3757758, 18.9438592 50.375917, 18.9438513 50.3760381)",
"[233223160, 523447693]",False,2,Bytomska,tertiary,50,True,40.229,"LINESTRING (18.9438686 50.3757758, 18.9438801 50.3756652, 18.9439061 50.3754148)",
495359611,False,,Marszałka Józefa Piłsudskiego,residential,,False,52.737,"LINESTRING (18.9384895 50.3798292, 18.9384262 50.3798299, 18.9383615 50.379835, 18.9377508 50.3798825)",
