osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
"[1145458275, 39799630]",,Östra Järnvägsgatan,residential,30,False,True,203.018,"LINESTRING (14.0753561 56.2540571, 14.0753201 56.2539297, 14.0752695 56.2537506, 14.0752339 56.2536244, 14.0751491 56.2533245, 14.0748465 56.2522534)",
"[42895460, 1145458276]",119,Tydingegatan,secondary,40,False,False,38.111,"LINESTRING (14.0753561 56.2540571, 14.0752474 56.2540666, 14.0747804 56.2541077, 14.0747467 56.2541107)",
39799641,,Mejerigatan,residential,30,False,True,41.961,"LINESTRING (14.0812164 56.2532543, 14.0805554 56.2531673)",
39799641,,Mejerigatan,residential,30,False,False,65.486,"LINESTRING (14.0812164 56.2532543, 14.0818858 56.2533401, 14.0822494 56.2533867)",
"[39799643, 39799645]",,Smedjegatan,"['unclassified', 'residential']",30,False,False,147.016,"LINESTRING (14.0812164 56.2532543, 14.0815295 56.2524638, 14.0816953 56.2519594)",
39799641,,Mejerigatan,residential,30,False,True,65.486,"LINESTRING (14.0822494 56.2533867, 14.0818858 56.2533401, 14.0812164 56.2532543)",
"[39799642, 39799644]",,Mejerigatan,residential,30,False,False,204.24900000000002,"LINESTRING (14.0822494 56.2533867, 14.0827911 56.2526606, 14.082841 56.252593, 14.0828628 56.2525358, 14.082866 56.2524803, 14.0828545 56.2524374, 14.0828289 56.2523937, 14.0827816 56.2523455, 14.0827216 56.2523036, 14.0826373 56.2522724, 14.0816953 56.2519594)",
"[39799642, 39799646]",,"['Mejerigatan', 'Ågatan']",residential,30,False,True,147.036,"LINESTRING (14.0822494 56.2533867, 14.0819747 56.2537112, 14.0806601 56.253246, 14.0805554 56.2531673)",
39799644,,Mejerigatan,residential,30,False,False,53.885,"LINESTRING (14.0816953 56.2519594, 14.0809279 56.251729)",
"[39799642, 39799644]",,Mejerigatan,residential,30,False,True,204.249,"LINESTRING (14.0816953 56.2519594, 14.0826373 56.2522724, 14.0827216 56.2523036, 14.0827816 56.2523455, 14.0828289 56.2523937, 14.0828545 56.2524374, 14.082866 56.2524803, 14.0828628 56.2525358, 14.082841 56.252593, 14.0827911 56.2526606, 14.0822494 56.2533867)",
"[39799643, 39799645]",,Smedjegatan,"['residential', 'unclassified']",30,False,True,147.016,"LINESTRING (14.0816953 56.2519594, 14.0815295 56.2524638, 14.0812164 56.2532543)",
39799644,,Mejerigatan,residential,30,False,True,53.885,"LINESTRING (14.0809279 56.251729, 14.0816953 56.2519594)",
39799641,,Mejerigatan,residential,30,False,False,41.961,"LINESTRING (14.0805554 56.2531673, 14.0812164 56.2532543)",
39799641,,Mejerigatan,residential,30,False,True,51.481,"LINESTRING (14.0805554 56.2531673, 14.0803118 56.2531468, 14.0797314 56.2530979)",
"[39799642, 39799646]",,"['Mejerigatan', 'Ågatan']",residential,30,False,False,147.036,"LINESTRING (14.0805554 56.2531673, 14.0806601 56.253246, 14.0819747 56.2537112, 14.0822494 56.2533867)",
39799647,,Skolgatan,residential,30,False,False,127.505,"LINESTRING (14.0726736 56.2524397, 14.0730357 56.2535686)",
39799631,,Snapphanegatan,residential,30,False,False,78.758,"LINESTRING (14.0726736 56.2524397, 14.0723754 56.2524666, 14.0714893 56.2525467, 14.0714153 56.2525538)",
39799631,,Snapphanegatan,residential,30,False,True,75.632,"LINESTRING (14.0726736 56.2524397, 14.0727427 56.2524331, 14.0731944 56.2523902, 14.0738797 56.2523227)",
39799647,,Skolgatan,residential,30,False,False,156.3,"LINESTRING (14.073245 56.2542306, 14.0737242 56.2556108)",
39799647,,Skolgatan,residential,30,False,True,74.738,"LINESTRING (14.073245 56.2542306, 14.0730357 56.2535686)",
127417706,119,Tydingegatan,secondary,40,False,False,86.875,"LINESTRING (14.073245 56.2542306, 14.0718552 56.2543504)",
127417706,119,Tydingegatan,secondary,40,False,True,93.713,"LINESTRING (14.073245 56.2542306, 14.0747467 56.2541107)",
39799647,,Skolgatan,residential,30,False,False,74.738,"LINESTRING (14.0730357 56.2535686, 14.073245 56.2542306)",
39799647,,Skolgatan,residential,30,False,True,127.505,"LINESTRING (14.0730357 56.2535686, 14.0726736 56.2524397)",
39799649,,Bödkaregatan,residential,30,False,True,71.985,"LINESTRING (14.0730357 56.2535686, 14.0741821 56.2534523)",
39799649,,Bödkaregatan,residential,30,False,False,85.124,"LINESTRING (14.0730357 56.2535686, 14.0717591 56.2536841, 14.0716758 56.2536758)",
39799648,,Västra Järnvägsgatan,residential,30,False,False,126.987,"LINESTRING (14.0738797 56.2523227, 14.0741821 56.2534523)",
39799631,,Snapphanegatan,residential,30,False,False,75.632,"LINESTRING (14.0738797 56.2523227, 14.0731944 56.2523902, 14.0727427 56.2524331, 14.0726736 56.2524397)",
39799631,,Snapphanegatan,residential,30,False,True,60.433,"LINESTRING (14.0738797 56.2523227, 14.0745398 56.2522564, 14.0747298 56.2522487, 14.0748465 56.2522534)",
39799648,,Västra Järnvägsgatan,residential,30,False,True,126.987,"LINESTRING (14.0741821 56.2534523, 14.0738797 56.2523227)",
39799649,,Bödkaregatan,residential,30,False,False,71.985,"LINESTRING (14.0741821 56.2534523, 14.0730357 56.2535686)",
39799649,,Bödkaregatan,residential,30,False,True,40.437,"LINESTRING (14.0741821 56.2534523, 14.0745765 56.2534062, 14.0748232 56.2533788)",
39799649,,Bödkaregatan,residential,30,False,False,40.437,"LINESTRING (14.0748232 56.2533788, 14.0745765 56.2534062, 14.0741821 56.2534523)",
23209361,119,Västergatan,secondary,40,False,False,125.79400000000001,"LINESTRING (14.0716758 56.2536758, 14.0715716 56.2532271, 14.0715355 56.2530715, 14.0714962 56.2529023, 14.0714153 56.2525538)",
23209361,119,Västergatan,secondary,40,False,True,75.82600000000001,"LINESTRING (14.0716758 56.2536758, 14.0718314 56.2542603, 14.0718552 56.2543504)",
39799649,,Bödkaregatan,residential,30,False,False,70.735,"LINESTRING (14.0716758 56.2536758, 14.0715669 56.253665, 14.0705448 56.2537537)",
39799649,,Bödkaregatan,residential,30,False,True,85.124,"LINESTRING (14.0716758 56.2536758, 14.0717591 56.2536841, 14.0730357 56.2535686)",
39863431,,Brogatan,unclassified,30,False,False,40.436,"LINESTRING (14.0827039 56.2554109, 14.0829111 56.2555595, 14.0829847 56.255596, 14.0831662 56.2556627)",
39863431,,Brogatan,unclassified,30,False,False,77.505,"LINESTRING (14.0831662 56.2556627, 14.0833448 56.255695, 14.0834803 56.2557208, 14.0843848 56.2558249)",
39863431,,Brogatan,unclassified,30,False,True,40.436,"LINESTRING (14.0831662 56.2556627, 14.0829847 56.255596, 14.0829111 56.2555595, 14.0827039 56.2554109)",
39863435,,Forsgatan,residential,30,False,False,97.68700000000001,"LINESTRING (14.0831662 56.2556627, 14.0828446 56.255984, 14.0828286 56.2560362, 14.082996 56.2561248, 14.0830809 56.2561481, 14.0827446 56.2563525)",
40117133,,Pehr Johnssons väg,unclassified,30,False,True,154.045,"LINESTRING (14.0806907 56.258046, 14.0804425 56.2578959, 14.079431 56.2574952, 14.0790971 56.2574022, 14.0786311 56.2572854)",
