osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
145817321,,Giselastraße,residential,30,False,True,66.158,"LINESTRING (7.965938 48.0924996, 7.9666799 48.0921703)",,
32024048,,Hödlerstraße,residential,30,False,True,94.144,"LINESTRING (7.965938 48.0924996, 7.9657545 48.0923667, 7.9651037 48.0918623)",,
32024048,,Hödlerstraße,residential,30,False,False,94.144,"LINESTRING (7.9651037 48.0918623, 7.9657545 48.0923667, 7.965938 48.0924996)",,
34788747,,Kandelstraße,residential,30,False,False,80.09,"LINESTRING (7.9651037 48.0918623, 7.9654885 48.0915699, 7.9656327 48.0914703, 7.9658847 48.0913771)",,
34788747,,Kandelstraße,residential,30,False,True,57.188,"LINESTRING (7.9651037 48.0918623, 7.9646562 48.092109, 7.9644689 48.0921293)",,
32024059,,Schlößlestraße,residential,30,False,True,106.148,"LINESTRING (7.9658847 48.0913771, 7.9666799 48.0921703)",,
34788747,,Kandelstraße,residential,30,False,True,80.09,"LINESTRING (7.9658847 48.0913771, 7.9656327 48.0914703, 7.9654885 48.0915699, 7.9651037 48.0918623)",,
271421178,,Heinrich-Baumer-Straße,residential,30,False,False,75.118,"LINESTRING (7.9658847 48.0913771, 7.9656684 48.0910689, 7.9655647 48.0909151, 7.9654904 48.0908431, 7.9653811 48.0908128)",,
274706908,2,Kandelstraße,residential,30,False,True,58.468,"LINESTRING (7.9658847 48.0913771, 7.9662483 48.091241, 7.9665718 48.0911205)",,
30502555,,Kandelstraße,residential,30,False,True,24.518,"LINESTRING (7.9640108 48.0920111, 7.9637612 48.0921554)",,
23034578,,Dettenbachstraße,residential,30,False,False,171.46300000000002,"LINESTRING (7.9640108 48.0920111, 7.9640578 48.0919114, 7.9641403 48.0917258, 7.9642678 48.0915966, 7.9643706 48.0915279, 7.9644461 48.0914813, 7.964517 48.0914376, 7.9649604 48.0912037, 7.9652809 48.0909, 7.9653811 48.0908128)",,
