osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,width,ref,junction,bridge
"[23007993, 1206541708]",,Heuhohlweg,living_street,False,False,116.027,,"LINESTRING (8.4651692 50.1794967, 8.4645067 50.1792874, 8.4643121 50.1792259, 8.4636705 50.1790944)",4,,,
340068238,2,Frankfurter Straße,tertiary,False,True,9.459,40,"LINESTRING (8.4684557 50.1821261, 8.4685877 50.1821165)",,,,
"[22933376, 209397714, 1204512918]",2,Adelheidstraße,tertiary,False,False,115.522,50,"LINESTRING (8.4684557 50.1821261, 8.4684453 50.1822081, 8.4684319 50.1822981, 8.4684321 50.1823567, 8.4684572 50.1824041, 8.4685267 50.1824737, 8.4686338 50.1825859, 8.4690548 50.1830578)",,,,
69485137,2,Frankfurter Straße,residential,False,False,32.489,50,"LINESTRING (8.4684557 50.1821261, 8.4682723 50.1821304, 8.4680019 50.1821075)",,,,
30709447,2,Adelheidstraße,residential,False,True,166.043,30,"LINESTRING (8.4695534 50.1836128, 8.4696825 50.1837377, 8.4707747 50.1848848)",,,,
"[22933375, 568673303]",3,Adelheidstraße,tertiary,False,True,71.19699999999999,50,"LINESTRING (8.4695534 50.1836128, 8.4694097 50.1834529, 8.4692549 50.1832805, 8.4691856 50.1832034, 8.4690548 50.1830578)",,,,
"[22811203, 181678583]",2,Klosterstraße,residential,False,False,118.65299999999999,30,"LINESTRING (8.4690548 50.1830578, 8.4685019 50.1832646, 8.4682414 50.183368, 8.467745 50.1835494, 8.4676164 50.1835964)",,,,
"[568673303, 22933375]",3,Adelheidstraße,tertiary,False,False,71.197,50,"LINESTRING (8.4690548 50.1830578, 8.4691856 50.1832034, 8.4692549 50.1832805, 8.4694097 50.1834529, 8.4695534 50.1836128)",,,,
"[22933376, 209397714, 1204512918]",2,Adelheidstraße,tertiary,False,True,115.522,50,"LINESTRING (8.4690548 50.1830578, 8.4686338 50.1825859, 8.4685267 50.1824737, 8.4684572 50.1824041, 8.4684321 50.1823567, 8.4684319 50.1822981, 8.4684453 50.1822081, 8.4684557 50.1821261)",,,,
22933378,,Jahnstraße,residential,False,True,57.923,50,"LINESTRING (8.4692906 50.1815125, 8.4693299 50.1816726, 8.4694022 50.1819676, 8.4694445 50.1820214)",,,,
22933379,,Thewaltstraße,living_street,False,True,45.491,,"LINESTRING (8.4694538 50.1797153, 8.4695381 50.179757, 8.4699595 50.1799653)",,,,
