osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,tunnel
74750684,,Drosselweg,residential,30,False,True,44.821,"LINESTRING (11.7680306 48.1087132, 11.7682011 48.1088081, 11.7684943 48.1089713)",,,
"[995998380, 995998381]",,Lerchenweg,residential,30,False,False,60.632000000000005,"LINESTRING (11.7678554 48.1092653, 11.7679302 48.1092329, 11.7682307 48.1091897, 11.7684943 48.1089713)",,,
1120787298,2,Fasanenstraße,residential,30,False,False,124.976,"LINESTRING (11.7678554 48.1092653, 11.7678909 48.109309, 11.7680048 48.1096163, 11.7681316 48.1096848, 11.7682683 48.1097585, 11.7684058 48.1098328, 11.7684658 48.1098643, 11.7686011 48.1099529, 11.768769 48.1100449, 11.7688746 48.1101021)",,,
1120787298,2,Fasanenstraße,residential,30,False,True,114.36699999999999,"LINESTRING (11.7678554 48.1092653, 11.7678065 48.1092353, 11.7674824 48.1090656, 11.7670558 48.1088421, 11.7669411 48.108782, 11.7666443 48.10863)",,,
25028342,,Lerchenweg,residential,30,False,False,36.12,"LINESTRING (11.7684943 48.1089713, 11.7688525 48.1091911)",,,
74750684,,Drosselweg,residential,30,False,False,44.821,"LINESTRING (11.7684943 48.1089713, 11.7682011 48.1088081, 11.7680306 48.1087132)",,,
"[995998380, 995998381]",,Lerchenweg,residential,30,False,True,60.632,"LINESTRING (11.7684943 48.1089713, 11.7682307 48.1091897, 11.7679302 48.1092329, 11.7678554 48.1092653)",,,
25028346,,Lerchenweg,residential,30,False,False,151.616,"LINESTRING (11.7703815 48.1082873, 11.7688525 48.1091911)",4,,
1120787233,,Bahnhofstraße,residential,30,False,False,88.164,"LINESTRING (11.7703815 48.1082873, 11.7711433 48.1088955)",6,,
1120787233,,Bahnhofstraße,residential,30,False,True,86.918,"LINESTRING (11.7703815 48.1082873, 11.7696454 48.1076795)",6,,
25028342,,Lerchenweg,residential,30,False,False,23.962,"LINESTRING (11.7688525 48.1091911, 11.7690976 48.1093313)",,,
25028342,,Lerchenweg,residential,30,False,True,36.12,"LINESTRING (11.7688525 48.1091911, 11.7684943 48.1089713)",,,
25028346,,Lerchenweg,residential,30,False,True,151.616,"LINESTRING (11.7688525 48.1091911, 11.7703815 48.1082873)",4,,
25028507,,Friedenstraße,residential,30,False,True,127.023,"LINESTRING (11.7758295 48.1029783, 11.7757405 48.1032477, 11.77527 48.1040552)",,,
976564008,,Friedenstraße,residential,30,False,False,66.844,"LINESTRING (11.7758295 48.1029783, 11.7756351 48.1028337, 11.7752281 48.102531)",,,
33094487,,Zugspitzstraße,residential,30,False,False,107.587,"LINESTRING (11.7752281 48.102531, 11.7755523 48.1024665, 11.7766245 48.1022732)",,,
33094487,,Zugspitzstraße,residential,30,False,True,118.904,"LINESTRING (11.7752281 48.102531, 11.7747446 48.102627, 11.7736932 48.1028357)",,,
976564008,,Friedenstraße,residential,30,False,True,66.844,"LINESTRING (11.7752281 48.102531, 11.7756351 48.1028337, 11.7758295 48.1029783)",,,
366705070,2,Carl-Orff-Straße,residential,30,False,True,16.549,"LINESTRING (11.7762591 48.109904, 11.7764308 48.1098091)",,,
366705070,2,Carl-Orff-Straße,residential,30,False,False,59.115,"LINESTRING (11.7762591 48.109904, 11.7760563 48.1100116, 11.7756358 48.1102348)",,,
