osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,bridge
392524542,True,4,North El Dorado Street,secondary,False,155.244,"LINESTRING (-121.2902312 37.9543293, -121.2903237 37.9546635, -121.2904523 37.9551323, -121.2906072 37.9556936)",,
392505401,False,3,East Miner Avenue,secondary,True,118.31700000000001,"LINESTRING (-121.2906072 37.9556936, -121.2913152 37.9555758, -121.2919276 37.9554739)",,
"[392505402, 1154244734]",False,3,East Miner Avenue,secondary,False,117.765,"LINESTRING (-121.2906072 37.9556936, -121.2903274 37.9557417, -121.2892949 37.9559194)",,
875817745,True,4,North El Dorado Street,secondary,False,120.473,"LINESTRING (-121.2906072 37.9556936, -121.290744 37.9561826, -121.290791 37.9563505, -121.2909032 37.9567516)",,
361793004,False,,East Lindsay Street,residential,False,118.634,"LINESTRING (-121.2909032 37.9567516, -121.2895798 37.956974)",,
"[875817745, 392524541]",True,"['4', '5']",North El Dorado Street,secondary,False,81.497,"LINESTRING (-121.2909032 37.9567516, -121.2910714 37.9573001, -121.2911178 37.9574647)",,
10543915,True,,Civic Court,residential,False,114.997,"LINESTRING (-121.2911178 37.9574647, -121.2924013 37.9572516)",,
392609925,True,5,North El Dorado Street,secondary,False,19.207,"LINESTRING (-121.2911178 37.9574647, -121.2911606 37.9576341)",,
392609924,True,4,North El Dorado Street,secondary,False,119.604,"LINESTRING (-121.2911606 37.9576341, -121.2912847 37.9581069, -121.2913179 37.9582294, -121.2914389 37.9586871)",,
875750456,False,,East Fremont Street,residential,False,123.752,"LINESTRING (-121.2911606 37.9576341, -121.290972 37.957604, -121.2904862 37.9576861, -121.289978 37.957772, -121.289897 37.9578, -121.289827 37.957871)",,
875817746,False,,East Fremont Street,residential,True,116.757,"LINESTRING (-121.2911606 37.9576341, -121.2914057 37.9576691, -121.2924682 37.9575052)",,
392609923,True,3,North El Dorado Street,secondary,False,110.423,"LINESTRING (-121.291681 37.959674, -121.2917535 37.9599407, -121.291945 37.960645)",,
"[751919210, 876613967]",True,2,East Park Street,tertiary,False,117.639,"LINESTRING (-121.291681 37.959674, -121.2922214 37.9595798, -121.2922613 37.9595728, -121.2927047 37.9594956, -121.2929912 37.9594457)",,
10542034,False,,Flora Street,residential,True,116.629,"LINESTRING (-121.291945 37.960645, -121.293246 37.960426)",,
608883292,True,3,North El Dorado Street,secondary,False,111.094,"LINESTRING (-121.291945 37.960645, -121.29221 37.961622)",,
608883291,False,,Flora Street,residential,False,116.959,"LINESTRING (-121.291945 37.960645, -121.291535 37.9607139, -121.290779 37.960841, -121.290641 37.960867)",,
10546117,False,,East Poplar Street,residential,False,117.026,"LINESTRING (-121.29221 37.961622, -121.290906 37.961847)",,
10546117,False,,East Poplar Street,residential,True,117.641,"LINESTRING (-121.29221 37.961622, -121.2935233 37.9614048)",,
392519808,True,3,North Center Street,secondary,False,110.047,"LINESTRING (-121.2929912 37.9594457, -121.2928999 37.9591256, -121.2928375 37.9589065, -121.2927189 37.9584796)",,
876613968,True,2,West Park Street,tertiary,False,115.914,"LINESTRING (-121.2929912 37.9594457, -121.2932079 37.9594081, -121.2942826 37.9592222)",,
10539411,False,4,North Hunter Street,residential,False,110.985,"LINESTRING (-121.290376 37.959891, -121.290641 37.960867)",,
10539411,False,4,North Hunter Street,residential,True,111.041,"LINESTRING (-121.290376 37.959891, -121.290108 37.958915)",,
876613967,True,2,East Park Street,tertiary,False,116.927,"LINESTRING (-121.290376 37.959891, -121.291681 37.959674)",,
10541724,False,,North San Joaquin Street,residential,False,111.054,"LINESTRING (-121.2890767 37.9601119, -121.2893383 37.9610891)",,
876613966,False,,North San Joaquin Street,residential,True,110.985,"LINESTRING (-121.2890767 37.9601119, -121.288807 37.9591367)",,
876613967,True,2,East Park Street,tertiary,False,116.529,"LINESTRING (-121.2890767 37.9601119, -121.290376 37.959891)",,
855639545,False,,North Sutter Street,residential,False,110.696,"LINESTRING (-121.28777 37.960336, -121.288037 37.961309)",,
876613979,False,,North Sutter Street,residential,True,111.51599999999999,"LINESTRING (-121.28777 37.960336, -121.2875879 37.9596923, -121.2875 37.959356)",,
876613980,True,2,East Park Street,tertiary,False,117.238,"LINESTRING (-121.28777 37.960336, -121.2885728 37.9601983, -121.2890767 37.9601119)",,
10537739,True,2,East Park Street,tertiary,False,116.61500000000001,"LINESTRING (-121.285166 37.960777, -121.2861051 37.9606144, -121.286466 37.960555)",,
941362295,False,,American Street,residential,False,110.387,"LINESTRING (-121.285166 37.960777, -121.2853237 37.9613614, -121.285407 37.9616701, -121.285428 37.961748)",,
513188086,True,,East Weber Avenue,tertiary,False,115.289,"LINESTRING (-121.292641 37.953273, -121.2925218 37.9532691, -121.2914901 37.9534184, -121.2913473 37.9534448)",,
