osmid,oneway,name,highway,reversed,length,geometry,ref
21643511,False,Lions Park Drive,residential,True,83.91,"LINESTRING (-88.139901 42.902375, -88.1400174 42.9023745, -88.140656 42.902372, -88.140931 42.902379)",
21660214,False,Pioneer Drive,unclassified,False,24.061,"LINESTRING (-88.139901 42.902375, -88.13988 42.902463, -88.139864 42.902529, -88.139849 42.902588)",
21663432,False,Lake Drive,residential,True,106.25,"LINESTRING (-88.135195 42.909331, -88.134328 42.910045)",
21664568,False,Harbor Circle,residential,False,139.28900000000002,"LINESTRING (-88.135265 42.90732, -88.135133 42.907341, -88.135048 42.907355, -88.134924 42.907386, -88.13479 42.9074272, -88.134781 42.90743, -88.134663 42.907478, -88.134548 42.907532, -88.134456 42.907582, -88.134369 42.90764, -88.134289 42.907724, -88.134236 42.90781, -88.134211 42.907894, -88.134208 42.907988, -88.134236 42.908121)",
21664568,False,Harbor Circle,residential,True,125.47500000000001,"LINESTRING (-88.135265 42.90732, -88.13553 42.907324, -88.13566 42.907332, -88.135946 42.907382, -88.136063 42.907414, -88.136299 42.907501, -88.136398 42.907556, -88.136491 42.907626, -88.136526 42.907667, -88.136545 42.907709, -88.13656 42.907765)",
551682579,False,Harbor Circle,residential,True,67.43299999999999,"LINESTRING (-88.135265 42.90732, -88.135232 42.90724, -88.135207 42.907147, -88.1351126 42.9068068, -88.1350906 42.9067275)",
21665114,False,Janesville Court,residential,False,13.617,"LINESTRING (-88.1407487 42.9056938, -88.140816 42.9058059)",
21674328,True,Janesville Road,secondary,False,131.157,"LINESTRING (-88.1407487 42.9056938, -88.1405833 42.9057421, -88.1401063 42.9058812, -88.1400664 42.9058925, -88.1396423 42.9060129, -88.1395001 42.9060443, -88.1394873 42.9060465, -88.1393513 42.9060704, -88.1392358 42.9060934)",CTH L
21665114,False,Janesville Court,residential,True,19.069,"LINESTRING (-88.1409102 42.9059629, -88.140851 42.9058642, -88.140816 42.9058059)",
21668375,False,Valley Drive,residential,True,16.053,"LINESTRING (-88.1420514 42.9052727, -88.1421357 42.9054032)",
21674328,True,Janesville Road,secondary,False,115.975,"LINESTRING (-88.1420514 42.9052727, -88.1407487 42.9056938)",CTH L
21668375,False,Valley Drive,residential,False,89.55,"LINESTRING (-88.1420514 42.9052727, -88.1420203 42.9052108, -88.141755 42.904683, -88.141653 42.9045226)",
21668375,False,Valley Drive,residential,False,191.164,"LINESTRING (-88.141268 42.904019, -88.140993 42.903678, -88.140901 42.903556, -88.140868 42.903478, -88.140855 42.903429, -88.140848 42.90332, -88.140854 42.903209, -88.140921 42.902546, -88.140931 42.902379)",
21668375,False,Valley Drive,residential,True,64.211,"LINESTRING (-88.141268 42.904019, -88.141344 42.904121, -88.14161 42.904455, -88.141653 42.9045226)",
21671384,False,Ann Drive,residential,False,99.012,"LINESTRING (-88.141268 42.904019, -88.141331 42.903994, -88.141885 42.903833, -88.142101 42.903762, -88.1422311 42.9036844, -88.1423223 42.9036033)",
