osmid,name,highway,oneway,reversed,length,geometry,lanes,width,maxspeed
"[9285425, 364574863]","['Meriton Avenue', 'South Street']",residential,False,"[False, True]",154.982,"LINESTRING (-70.568672 41.457677, -70.568807 41.457578, -70.568922 41.457452, -70.569008 41.457315, -70.569181 41.456917, -70.5692117 41.4568614, -70.5691944 41.4568226, -70.568683 41.456631)",,,20 mph
364581250,Huntington Avenue,residential,False,False,5.503,"LINESTRING (-70.568672 41.457677, -70.568675 41.457699, -70.568681 41.457726)",,,20 mph
364581250,Huntington Avenue,residential,False,True,14.669,"LINESTRING (-70.568672 41.457677, -70.568601 41.45767, -70.568509 41.457633)",,,20 mph
9284651,Second Avenue,residential,False,True,128.132,"LINESTRING (-70.5663783 41.4553502, -70.566465 41.45502, -70.566566 41.454607, -70.566671 41.454219)",,,
9284666,School Street,residential,False,False,55.456999999999994,"LINESTRING (-70.5663783 41.4553502, -70.566066 41.4552933, -70.5657277 41.4552463)",2,12.2,
9284666,School Street,residential,False,True,119.80100000000002,"LINESTRING (-70.5663783 41.4553502, -70.5666945 41.4553985, -70.5672451 41.4554788, -70.5675325 41.4555219, -70.5677881 41.4555608)",2,12.2,
9285433,Scotty Way,residential,False,True,35.266,"LINESTRING (-70.5687 41.451252, -70.568825 41.450949)",,,
9285547,Forest Hill Avenue,residential,False,False,59.477,"LINESTRING (-70.5687 41.451252, -70.568015 41.451102)",2,9.1,
9285547,Forest Hill Avenue,residential,False,True,66.285,"LINESTRING (-70.5687 41.451252, -70.568945 41.451302, -70.569465 41.451415)",2,9.1,
9284681,Rowland Avenue,residential,False,True,38.149,"LINESTRING (-70.5652835 41.4570082, -70.5655068 41.4567087)",2,7.6,
9284681,Rowland Avenue,residential,False,False,61.209,"LINESTRING (-70.5652835 41.4570082, -70.565188 41.457159, -70.56497 41.457506)",2,7.6,
9285628,Greenleaf Avenue,residential,False,False,64.193,"LINESTRING (-70.5652835 41.4570082, -70.5651755 41.4569723, -70.5645941 41.4567509)",1,7.6,
