osmid,name,highway,oneway,reversed,length,geometry,tunnel,lanes,ref,maxspeed,access
101333475,Akaki Tsereteli st.,residential,False,True,75.973,"LINESTRING (45.8079595 41.9513303, 45.8084472 41.9513589, 45.8088757 41.9513803)",,,,,
561176843,ლაშარის ქუჩა,residential,False,True,90.025,"LINESTRING (45.8079595 41.9513303, 45.8079731 41.9514699, 45.8080134 41.9517191, 45.8080134 41.9519894, 45.8080269 41.9521374)",,,,,
101333680,,residential,False,True,10.547,"LINESTRING (45.8167913 41.9516475, 45.8167821 41.9517421)",,,,,
101333458,,residential,False,True,20.996,"LINESTRING (45.8167913 41.9516475, 45.8168271 41.9516493, 45.8170448 41.951658)",,,,,
101333680,,residential,False,False,75.90899999999999,"LINESTRING (45.8167913 41.9516475, 45.8167517 41.951567, 45.8166779 41.9514157, 45.8166084 41.9513576, 45.8163838 41.9513199, 45.8162302 41.9512953, 45.816138 41.9512805)",,,,,
678453346,ილია ჭავჭავაძის გამზირი,tertiary,False,True,2.137,"LINESTRING (45.8149908 41.9493951, 45.8149879 41.949376)",no,2,შ 182,60,yes
122257893,დავით აღმაშენებლის გამზირი,tertiary,False,False,115.218,"LINESTRING (45.8149908 41.9493951, 45.8151194 41.9493734, 45.8163584 41.9491976)",,2,,50,yes
678453346,ილია ჭავჭავაძის გამზირი,tertiary,False,False,48.244,"LINESTRING (45.8149908 41.9493951, 45.815 41.9494739, 45.8150517 41.9497079, 45.8150837 41.9498231)",no,2,შ 182,60,yes
101333750,სააკაძის I ჩიხი,residential,False,False,138.672,"LINESTRING (45.8166546 41.9471582, 45.8166253 41.9469985, 45.8163718 41.9470099, 45.8158172 41.9470097, 45.8157274 41.9470026, 45.8157697 41.9465864)",,,,,
101333680,,residential,False,False,10.547,"LINESTRING (45.8167821 41.9517421, 45.8167913 41.9516475)",,,,,
101333743,Erekle II st.,residential,False,False,138.14,"LINESTRING (45.8114865 41.9455449, 45.8115245 41.9467869)",,,,,
101333743,Erekle II st.,residential,False,True,108.493,"LINESTRING (45.8114865 41.9455449, 45.8114163 41.9445706)",,,,,
101333777,,residential,False,False,31.38,"LINESTRING (45.8114865 41.9455449, 45.8118659 41.9455421)",,,,,
101333454,,residential,False,False,35.753,"LINESTRING (45.8096433 41.9490731, 45.8100756 41.9490701)",,,,,
101333537,ელადის ქუჩა,residential,False,True,157.291,"LINESTRING (45.8096433 41.9490731, 45.8095488 41.9476603)",,,,,
