osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,name,width,tunnel,access,junction
4397784,False,,residential,30,True,109.844,"LINESTRING (6.6772439 51.4451703, 6.6771302 51.4452871, 6.6769753 51.4454435, 6.6764029 51.4460076)",,,Am Handweiser,,,,
4281177,False,,residential,,False,85.96800000000002,"LINESTRING (6.6790554 51.4461688, 6.6791272 51.4462149, 6.6796995 51.4465924, 6.6797515 51.4466285, 6.6799043 51.4467325)",,,Kirchstraße,,,,
4281177,False,,residential,,True,21.584,"LINESTRING (6.6790554 51.4461688, 6.6789838 51.4461219, 6.6789052 51.4460771, 6.6788285 51.4460361)",,,Kirchstraße,,,,
4397782,False,,residential,30,False,138.983,"LINESTRING (6.6790554 51.4461688, 6.6789145 51.4463085, 6.6787759 51.4464489, 6.6780448 51.4472482)",,,Fichtenstraße,,,,
4397788,False,,residential,30,True,107.915,"LINESTRING (6.6801745 51.4469137, 6.6795056 51.4477901)",,,Bismarckstraße,,,,
4281177,False,,residential,,False,80.48599999999999,"LINESTRING (6.6801745 51.4469137, 6.6805338 51.4471529, 6.6805991 51.4471964, 6.6809017 51.4474752)",,,Kirchstraße,,,,
4281177,False,,residential,,True,27.518,"LINESTRING (6.6801745 51.4469137, 6.6801089 51.446865, 6.6799043 51.4467325)",,,Kirchstraße,,,,
4281177,False,,residential,,True,72.27799999999999,"LINESTRING (6.6826572 51.4496837, 6.6825946 51.4495936, 6.682404 51.4493193, 6.6822395 51.4490881)",,,Kirchstraße,,,,
67162860,False,2,secondary,50,False,85.53399999999999,"LINESTRING (6.6826572 51.4496837, 6.6825124 51.4496841, 6.6817918 51.449686, 6.6814229 51.4496869)",K 15,,Moerser Straße,,,,
67162862,False,,residential,30,False,86.62299999999999,"LINESTRING (6.6826572 51.4496837, 6.682775 51.449803, 6.6833481 51.4503328)",,,Kirchstraße,,,,
"[130788757, 783874357, 783874358]",False,2,secondary,30,True,243.49599999999998,"LINESTRING (6.6826572 51.4496837, 6.6829063 51.4496832, 6.6832461 51.4496824, 6.6834467 51.4496799, 6.685856 51.4496587, 6.6861707 51.4496563)",K 15,,Moerser Straße,,,,
"[330743424, 4281242]",False,,residential,30,False,74.979,"LINESTRING (6.6839631 51.4509752, 6.6836708 51.451091, 6.6830499 51.4513369)",,,Luisenstraße,,,,
330743425,False,,residential,30,False,195.01600000000002,"LINESTRING (6.6839631 51.4509752, 6.6847008 51.4512683, 6.6850669 51.4514309, 6.6853124 51.4515573, 6.6855273 51.4517192, 6.6860177 51.4521398)",,,Kirchstraße,,,,
330743426,False,,residential,30,True,83.182,"LINESTRING (6.6839631 51.4509752, 6.6835356 51.4505219, 6.6833481 51.4503328)",,,Kirchstraße,,,,
4281246,False,,residential,30,False,78.081,"LINESTRING (6.6860177 51.4521398, 6.6850583 51.4525081)",,,Friedrich-Ebert-Straße,,,,
95973667,False,,residential,,False,142.509,"LINESTRING (6.6860177 51.4521398, 6.6863452 51.4524046, 6.6865706 51.4525687, 6.6868307 51.452718, 6.6871478 51.4528455, 6.6875485 51.4529625)",,,Kirchstraße,,,,
330743425,False,,residential,30,True,195.016,"LINESTRING (6.6860177 51.4521398, 6.6855273 51.4517192, 6.6853124 51.4515573, 6.6850669 51.4514309, 6.6847008 51.4512683, 6.6839631 51.4509752)",,,Kirchstraße,,,,
330743423,False,,residential,30,False,86.613,"LINESTRING (6.6830499 51.4513369, 6.682695 51.4514143, 6.682441 51.4514456, 6.6821393 51.451474, 6.6818309 51.4514929)",,,Dr.-Kolb-Straße,,,,
"[330743424, 4281242]",False,,residential,30,True,74.979,"LINESTRING (6.6830499 51.4513369, 6.6836708 51.451091, 6.6839631 51.4509752)",,,Luisenstraße,,,,
1115293287,False,,residential,30,False,192.202,"LINESTRING (6.6830499 51.4513369, 6.68333 51.4520354, 6.6836828 51.4529149, 6.683751 51.4530076)",,,Luisenstraße,,,,
4281241,False,,residential,30,False,109.98,"LINESTRING (6.6804382 51.4515793, 6.6802024 51.4506012)",,,Franzstraße,,,,
4281241,False,,residential,30,True,259.68,"LINESTRING (6.6804382 51.4515793, 6.6808487 51.4533439, 6.6809758 51.4538905)",,,Franzstraße,,,,
