osmid,oneway,highway,reversed,length,name,geometry,lanes,junction,ref
88302940,False,residential,False,50.396,Rua Monsenhor Costa,"LINESTRING (-42.7307425 -10.8212592, -42.7304992 -10.8208741)",,,
88302940,False,residential,True,45.445,Rua Monsenhor Costa,"LINESTRING (-42.7307425 -10.8212592, -42.7309592 -10.8216081)",,,
88302929,False,tertiary,False,101.964,Rua Rui Barbosa,"LINESTRING (-42.7299235 -10.8212872, -42.7293897 -10.8205349)",,,
88302929,False,tertiary,True,149.211,Rua Rui Barbosa,"LINESTRING (-42.7299235 -10.8212872, -42.7307192 -10.822378)",,,
88302986,False,residential,False,44.365,Rua João Guimarães,"LINESTRING (-42.7299235 -10.8212872, -42.7295825 -10.821504)",,,
88302986,False,residential,True,77.868,Rua João Guimarães,"LINESTRING (-42.7299235 -10.8212872, -42.7304992 -10.8208741)",,,
88302986,False,residential,False,40.31,Rua João Guimarães,"LINESTRING (-42.7295825 -10.821504, -42.7292734 -10.8217021)",,,
88302986,False,residential,True,44.365,Rua João Guimarães,"LINESTRING (-42.7295825 -10.821504, -42.7299235 -10.8212872)",,,
211093048,False,residential,False,200.383,Rua Dom Pedro I,"LINESTRING (-42.7295825 -10.821504, -42.7286563 -10.8199484)",,,
211093048,False,residential,True,149.562,Rua Dom Pedro I,"LINESTRING (-42.7295825 -10.821504, -42.7302497 -10.8226786)",,,
249040886,False,residential,True,107.69,Rua Rosa Baraúna,"LINESTRING (-42.7264564 -10.8215499, -42.7259507 -10.8207185)",,,
211093045,True,primary,False,64.819,Avenida Antônio Carlos Magalhães,"LINESTRING (-42.7264564 -10.8215499, -42.7265252 -10.8215226, -42.7265993 -10.8215197, -42.7266701 -10.8215416, -42.7267291 -10.8215857, -42.7267696 -10.8216467, -42.7267867 -10.8217176, -42.7267785 -10.82179, -42.7267458 -10.8218555)",1,roundabout,
211093045,True,primary,False,9.415,Avenida Antônio Carlos Magalhães,"LINESTRING (-42.7263939 -10.8216076, -42.7264222 -10.8215757, -42.7264564 -10.8215499)",1,roundabout,
211093044,True,primary,False,24.235,,"LINESTRING (-42.7261739 -10.821636, -42.7263939 -10.8216076)",,,BA-052
402221413,False,primary,True,103.206,Avenida Antônio Carlos Magalhães,"LINESTRING (-42.7261739 -10.821636, -42.7252521 -10.8214318)",2,,BA-052
88302986,False,residential,False,59.797,Rua João Guimarães,"LINESTRING (-42.7292734 -10.8217021, -42.728812 -10.8219916)",,,
88302986,False,residential,True,40.31,Rua João Guimarães,"LINESTRING (-42.7292734 -10.8217021, -42.7295825 -10.821504)",,,
251103499,False,residential,False,150.278,Rua Agrario Avelino,"LINESTRING (-42.7292734 -10.8217021, -42.7300164 -10.8228396)",,,
