osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry
784281847,False,1,Curalelfu,living_street,30,True,81.949,,"LINESTRING (-72.9556721 -39.6624073, -72.9564611 -39.6628247)"
"[1094004083, 784281846]",False,2,"['Río Pichoy', 'Río Calle Calle']",residential,50,"[False, True]",116.19800000000001,,"LINESTRING (-72.9556721 -39.6624073, -72.955904 -39.6621492, -72.9566926 -39.6625567)"
784281845,False,2,Río Máfil,residential,50,False,35.718,,"LINESTRING (-72.9562299 -39.6630921, -72.9564611 -39.6628247)"
784281848,False,1,Nonoco,living_street,30,False,82.587,,"LINESTRING (-72.9562299 -39.6630921, -72.9554414 -39.6626641)"
784281845,False,2,Río Máfil,residential,50,True,36.62199999999999,,"LINESTRING (-72.9562299 -39.6630921, -72.9561372 -39.6631994, -72.9559703 -39.6633244, -72.9559545 -39.6633418)"
784281846,False,2,Río Pichoy,residential,50,False,34.718,,"LINESTRING (-72.9554414 -39.6626641, -72.9556721 -39.6624073)"
784281846,False,2,Río Pichoy,residential,50,True,36.747,,"LINESTRING (-72.9554414 -39.6626641, -72.9551972 -39.6629359)"
784281848,False,1,Nonoco,living_street,30,True,82.587,,"LINESTRING (-72.9554414 -39.6626641, -72.9562299 -39.6630921)"
784281845,False,2,Río Máfil,residential,50,True,36.919,,"LINESTRING (-72.9559545 -39.6633418, -72.9557066 -39.6636135)"
784281849,False,1,Rucapichio,living_street,30,False,78.989,,"LINESTRING (-72.9559545 -39.6633418, -72.9551972 -39.6629359)"
784281845,False,2,Río Máfil,residential,50,False,36.622,,"LINESTRING (-72.9559545 -39.6633418, -72.9559703 -39.6633244, -72.9561372 -39.6631994, -72.9562299 -39.6630921)"
784281846,False,2,Río Pichoy,residential,50,False,36.747,,"LINESTRING (-72.9551972 -39.6629359, -72.9554414 -39.6626641)"
784281846,False,2,Río Pichoy,residential,50,True,35.707,,"LINESTRING (-72.9551972 -39.6629359, -72.9549599 -39.6632)"
